archive_member_path,archive_class_name,class_id,class_label,split,duplicate_group_id,duplicate_group_size,duplicate_group_reason
Apple___Apple_scab/10058.jpg,Apple___Apple_scab,0,Apple___Apple_scab,train,g_c8006673ee2db669,1,unique
Apple___Apple_scab/10133.jpg,Apple___Apple_scab,0,Apple___Apple_scab,validation,g_d40987f2f21d9a36,1,unique
Apple___Apple_scab/1018.jpg,Apple___Apple_scab,0,Apple___Apple_scab,test,g_f9e39eae5d1a07c8,1,unique
Apple___Apple_scab/10324.jpg,Apple___Apple_scab,0,Apple___Apple_scab,train,g_7a7ba9642bd0243c,1,unique
Apple___Apple_scab/10415.jpg,Apple___Apple_scab,0,Apple___Apple_scab,train,g_3ba34fd855b67f1f,1,unique
Apple___Apple_scab/10476.jpg,Apple___Apple_scab,0,Apple___Apple_scab,validation,g_b6ed38ac83fd8582,1,unique
Apple___Apple_scab/10609.jpg,Apple___Apple_scab,0,Apple___Apple_scab,train,g_fc61ae45344041ae,1,unique
Apple___Apple_scab/10614.jpg,Apple___Apple_scab,0,Apple___Apple_scab,train,g_1584b23b67eda5a6,1,unique
Apple___Apple_scab/10632.jpg,Apple___Apple_scab,0,Apple___Apple_scab,test,g_6faf52cba741dbb1,1,unique
Apple___Apple_scab/10661.jpg,Apple___Apple_scab,0,Apple___Apple_scab,train,g_7390db45b87d80ee,1,unique
Apple___Apple_scab/10695.jpg,Apple___Apple_scab,0,Apple___Apple_scab,test,g_0158006e5994a966,1,unique
Apple___Apple_scab/10973.jpg,Apple___Apple_scab,0,Apple___Apple_scab,train,g_5fbbcde8a8fd5e69,1,unique
Apple___Apple_scab/10979.jpg,Apple___Apple_scab,0,Apple___Apple_scab,train,g_18ed6480bea98563,1,unique
Apple___Apple_scab/11110.jpg,Apple___Apple_scab,0,Apple___Apple_scab,test,g_62746b0e7d006636,1,unique
Apple___Apple_scab/11198.jpg,Apple___Apple_scab,0,Apple___Apple_scab,train,g_5192010d0417a0d9,1,unique
Apple___Apple_scab/11261.jpg,Apple___Apple_scab,0,Apple___Apple_scab,train,g_c8ae4d472f0b2379,1,unique
Apple___Apple_scab/11359.jpg,Apple___Apple_scab,0,Apple___Apple_scab,train,g_6c6c3888da150fe6,1,unique
Apple___Apple_scab/11422.jpg,Apple___Apple_scab,0,Apple___Apple_scab,train,g_81653d143956c1f4,1,unique
